ID,pH6.5-A1,pH6.5-A2,pH6.5-A3,pH5.5-A1,pH5.5-A2,pH5.5-A3,pH5-A1,pH5-A2,pH5-A3,pH4.5-A1,pH4.5-A2,pH4.5-A3,pH6.5-B1,pH6.5-B2,pH6.5-B3,pH5.5-B1,pH5.5-B2,pH5.5-B3,pH5-B1,pH5-B2,pH5-B3,pH4.5-B1,pH4.5-B2,pH4.5-B3
Q88XZ2,0.953940914592708,0.948686057370881,0.959823568960458,0.900859765428096,0.92763554679474,0.932672066011958,0.96256213300051,0.970250442270424,0.967827641456601,0.912732961593468,0.919759781004439,0.909951317552066,1.09079605913937,1.10933172691684,1.08409889107136,1.07199800747634,1.07339182173799,1.08053704146547,1.09031379963997,1.05256137504413,1.06683491802177,1.06942628211176,1.05877356169042,1.13141369978036
F9UQ80,1.09815721950796,1.09205103204105,1.08879763977608,1.05357835700473,1.06544765164414,1.08812559864148,0.949118859643677,0.958754993789301,0.958229949218249,0.876137619211742,0.895207693671978,0.896431303623482,1.12210009943555,1.10182376818114,1.11869248417628,1.06763229284324,1.03903143651074,1.04389365722523,1.03966333849789,0.945168958593873,0.978388982467149,0.922862260075325,0.930545984354836,1.05426747273812
Q88XZ3,0.984364510032394,0.958024511276871,0.973351693278634,0.95621556540134,0.988657196331245,0.973525531527092,1.00034959000716,0.976237458827467,0.995856317571711,0.953797280287756,0.962916018854476,0.949538114334954,0.978369030766795,1.0539159593422,1.0275302937954,1.05837372455221,1.04212951910136,1.0446337174299,0.997282586070941,1.13570604026185,1.13203413472884,1.08283219354435,1.07444700448096,0.977432951097811
Q88YM5,1.18056612399433,1.0994163945257,1.11470908943048,1.0071342301335,0.96713859012389,0.921824568595268,0.946496768185477,0.861076990840809,0.948902928865278,0.858251152140454,0.908512472052155,0.894250321324602,1.44736933521985,1.26692020767655,1.30406300046395,0.939175496022282,0.876890965724098,0.85531305057688,0.796246603466079,1.04361446566342,1.04251598664148,1.15433826158163,1.1666525323713,0.951240461588112
F9UPM3,0.97938839679831,0.922192187536035,0.96276741278554,0.910076679309573,0.911675342924543,0.942301681572801,0.939870764122782,0.940252037066324,0.941968643075688,0.898758318176131,0.910064737557668,0.935757813467331,1.21182110037457,1.24704234743571,1.27912320088858,1.16886523779308,1.16513326518324,1.18079913968192,1.13894165569261,0.977036385742137,0.974811797626949,0.887164440609765,0.878516806372652,1.06062975007596
Q88XY8,0.843732266802666,0.792790864274655,0.847329367298875,0.869612464752567,0.861730686707685,0.886839865601001,0.964414871234865,0.94200105848699,0.966797158823086,0.954425905835191,0.963576354696954,0.960874398726529,1.13222352929889,1.03704397509349,1.05244465448929,1.09296185816618,1.0634639324131,1.05954479802296,1.16832071390151,1.05667761865517,1.11291512850947,1.16019183568595,1.14662481730014,1.24189282567583
F9UMJ6,0.892952616822334,0.898966929881771,0.903096291151616,0.784421824512536,0.797200042606258,0.802496689719741,0.817848262203383,0.8257427504569,0.814344194580703,0.797051146819417,0.805087437275558,0.780175577720823,1.44894404101513,1.38245228282236,1.37711031071893,1.32818233882266,1.29143430582148,1.31545155924154,1.28941693851499,0.963558266763139,0.946915779226454,0.897902739348191,0.892370049690423,1.23920219878592
Q88VM0,1.0382769910281,1.01686914754323,1.0645573291776,0.878349616651071,0.932192287376637,0.974479879371346,0.973034566153686,1.00185915775634,0.959757172804767,0.971871061004674,0.965123091591961,0.984729307236811,0.955653896474212,1.18369480484752,1.13175232383794,0.90452085843667,0.931464156647617,0.950616097165932,0.885404026890847,1.0848745922225,1.07182926352304,1.15694902031627,1.17190066262133,1.06462998773091
Q88YL7,0.975109459846025,0.994593942240765,0.994933854877255,0.95556922022877,0.997247660736821,1.02759501247965,1.0207669396868,1.03811634986897,0.995480022778476,1.01380303063511,1.00046053570175,1.00004513401147,1.02991280388101,1.03969747690117,1.03193757913756,1.03165047344571,1.02863490287047,1.03595654338733,1.03807399209829,0.99704670617524,1.01072742191985,0.981467075887126,0.991725113469456,1.06197089176881
Q88UX7,0.869205366344686,0.872009102520245,0.899865546716081,0.809207980844653,0.823928692552149,0.862918804103433,0.884272204714733,0.902779471617367,0.860997819649005,0.890867559423225,0.866441203843602,0.875485484685755,0.990652935247161,1.10807376186678,1.0769967423288,1.1282845453892,1.12856399208343,1.14630517984433,1.16642326263303,1.1312141769605,1.14014104771017,1.18389072356412,1.16133485600268,1.2907778902877
